text,count
"NEW GUINEA, WESTERN HIGHLANDS DISTRICT, UPPER KAIRONK VALLEY",246
"(COLON), JERICO (NEAR TRUJILLO), COCAL FARM",246
"DF/MEXICO, EL ARBOLILLO",244
"DF/MEXICO, ATZCAPOTZALCO",240
"MT, BIG HORN COUNTY?, YELLOWSTONE COUNTY?, CROW INDIAN RESERVATION",239
"AK, SITKA BOROUGH, BARANOF ISLAND, SITKA, SITKA QWAN",238
"MINDANAO, WEST COAST OF MINDANAO, SOUTH OF CATOBATO RIVER",238
UPPER SOLIMOES RIVER,235
"NEW GUINEA, TCHAMBULI",234
NASCA,231
NETSILIK,226
CHOLULA?,224
"LIMON, SIQUIERRES",224
"NEW GUINEA, NEW GUINEA HIGHLANDS, UPPER KAUGEL VALLEY",222
"SIBERIA, ANADYR, MARIINSKY POST",221
"NEW GUINEA, SEPIK RIVER, WEWAK DISTRICT (WIWAK DISTRICT)",217
CHISAKONKA,217
"DF/MEXICO, TICOMAN",217
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL VICINITY, TRENCH B, NORTH EXTENSION",214
WY,213
"QUE, LAKE SAINT JOHN",213
"NM, SAN JUAN COUNTY, CHACO CANYON",211
IKOKO,211
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL VICINITY, TRENCH A",211
NINGPO,209
"MALAYA, NORTHERN PAHANG, KAMPONG JINTEH ?",208
OKINAWA,206
UELE,206
SAMAR ISLAND,205
RUNGU,205
"NEW GUINEA, WAHGI REGION",204
NEAR SAN SALVADOR,202
"BC, HAIDA GWAII",200
"AK, YUKON-KOYUKUK BOROUGH, ANVIK",200
ADMIRALTY ISLANDS,198
"NEW GUINEA, PAPUA NEW GUINEA, SEPIK AREA, ABOVE THE YELLOW RIVER",198
NAROK DISTRICT,197
"EAST PERU, RIO SAN ALEJANDRO",192
"DF/MEXICO, NONOALCO, CAMPO CERRO, EAST TRAVERSE, NORTH EXTENSION",191
"TAMAULIPAS, TANCOL",191
FARADJE,189
LYONS INLET,188
"BC, KOSKIMO",187
MN,187
"OAXACA, NOCHISTLÁN",187
"NEW GUINEA, BETWEEN RAMU AND JIMMI RIVERS",185
CORONATION GULF,182
"OAXACA, MONTE ALBAN",182
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL VICINITY, ORIGINAL TRENCH B",182
CHIMBUNDU,177
PACHACAMAC,174
NEW IRELAND,173
AZ?,173
ONT,172
KINIPETU,172
"DURANGO, SAN FRANCISCO DE LAJAS",172
"NEW GUINEA, (TERRITORY OF NEW GUINEA), EASTERN HIGHLANDS DISTRICT, CHIMBU VALLEY, GOROMOKO",171
HAWAII,170
"ALB, SARSI RESERVE",169
"ONT, SIX NATIONS RESERVE",169
"WY, FREMONT COUNTY, FORT WASHAKIE",168
TIERRA DEL FUEGO,168
"BALI, BAJOENG",167
"DF/MEXICO, EL ARBOLILLO, TRENCH I",166
"MORELOS, CUERNAVACA, GUALUPITA, TRENCH C",166
"OKAT VICINITY, SOUTHEAST CORNER OF FRANKLIN BAY",165
SUCHOW,165
RIO PILCOMAYO,165
"SIBERIA, INDIAN POINT, WUTEEN",164
"EAST PERU, RIO URUBAMBA",162
"EAST PERU, BAJO UCAYALI",162
JALISCO,160
"DF/MEXICO, TICOMAN, TRENCH C",160
AIVILIK,159
AKENGE,159
"CARTAGO, CARTAGO VICINITY",158
