text,count
CENTRAL AFRICAN REPUBLIC,7
EAST AFRICA/KENYA,7
AUSTRALIA?,6
PALESTINE/SYRIA,6
JORDAN,6
THAILAND/ LAOS,6
VENEZUELA?,6
CENTRAL AFRICA?,6
SOMALIA?,6
"CAMEROON?, CONGO?",6
PORTUGUESE WEST AFRICA/ANGOLA,6
GUINEA,6
FRENCH WEST AFRICA/MALI?,6
CAMEROON (FRENCH CAMEROON),6
NRUSSIA,5
CHINA (JAPAN),5
OMAN (INDIA),5
BRUNEI,5
CHILE?,5
CONGO FREESTATE?,5
NIGERIA?/WEST AFRICA?,5
SIERRA LEONE?,5
EAST AFRICA?/UGANDA?,5
EGYPT?,5
"EGYPT?, SUDAN?",5
EAST AFRICA/TANZANIA,5
EAST AFRICA/UGANDA?,5
"COTE D'IVOIRE?, LIBERIA?",5
"EAST AFRICA?, SOUTH AFRICA?",5
MARTINIQUE,5
HAITI ?,5
NORWAY,4
PERSIA ?,4
KYRGYZSTAN,4
QATAR,4
CEYLON ?,4
GABON?/WEST AFRICA,4
"TANZANIA?, ZAMBIA?",4
NORTHERN AFRICA,4
TOGO?,4
FRENCH EQUATORIAL AFRICA/GABON?,4
TANZANIA (GERMAN EAST AFRICA),4
"KENYA?, UGANDA?",4
PORTUGUESE EAST AFRICA,4
"TANZANIA?, ZANZIBAR?",4
SOUTHWEST AFRICA/NAMIBIA?,4
"LIBERIA?, COTE D'IVOIRE?",4
GRAND CANARY ISLAND,4
GUINEA?,4
ALGERIA?,4
"EAST AFRICA?, NORTH AFRICA?",4
COMOROS ISLANDS,4
NETHERLANDS,4
BARBADOS,4
MONTENEGRO,3
HOLLAND,3
FRANCE? SCOTLAND?,3
TURKEY?(INDIA?),3
JAPAN ? CHINA ?,3
US,3
PAKISTAN ?,3
TAJIKISTAN,3
KAZAKHSTAN,3
QATAR (PAKISTAN),3
VIETNAM? (NORTHERN VIETNAM?)/LAOS?,3
"COLOMBIA?, ECUADOR?",3
"GABON?, EQUATORIAL GUINEA?",3
CONGO (FRENCH CONGO),3
NORTHWEST AFRICA?,3
"EGYPT, SUDAN",3
"ANGOLA?, SOUTHWEST AFRICA?",3
"ETHIOPIA?, UGANDA?",3
"ANGOLA?, WEST AFRICA?",3
EAST AFRICA?/KENYA?,3
PORTUGUESE EAST AFRICA/MOZAMBIQUE,3
"RWANDA?, RUANDA?",3
ANGOLA/PORTUGUESE WEST AFRICA,3
KENYA/SOUTH AFRICA?,3
"CENTRAL AFRICA?, EAST AFRICA?",3
"UGANDA?, ZAIRE?",3
BELGIUM,3
REPUBLIC OF THE MARSHALL ISLANDS,2
GREECE?,2
HUNGARY?,2
POLAND,2
SPAIN?,2
CHINA ? KOREA ?,2
SOUTH ARABIA,2
CHINA OR INDIA,2
NEPAL ?,2
MONGOLIA ?,2
CHINA? JAPAN?,2
VIETNAM (CHINA),2
INDIA OR BANGLADESH,2
UZBEKISTAN OR TAJIKISTAN,2
CHINA/NEPAL,2
CHINA (PAKISTAN),2
VIETNAM ?,2
ARMENIA ?,2
"PERU?, CHILE?",2
PARAGUAY?,2
"BRAZIL?, BRITISH GUIANA?",2
"GUYANA?, BRAZIL?",2
"CONGO?, MALI?",2
"SUDAN?, SOMALIA?",2
NORTH AFRICA/ETHIOPIA,2
CONGO? (FRENCH EQUATORIAL AFRICA?),2
"AFRICA?, ASIA?",2
SOUTH AFRICA/KENYA?,2
"LIBERIA?, SIERRA LEONE?",2
"AFRICA?, NEW GUINEA",2
"NIGERIA?, CAMEROON?",2
"NORTH AFRICA?, WEST AFRICA?",2
WEST AFRICA/FRENCH GUINEA,2
NORTH AFRICA/EGYPT?,2
GABON/WEST AFRICA,2
BURKINA FASO?,2
SOUTH AFRICA/LESOTHO?,2
"CONGO (BELGIAN CONGO)?, ANGOLA?",2
SOUTHWEST AFRICA/NAMIBIA,2
"CONGO?, NIGERIA?",2
NORTH AFRICA/MALI/SENEGAL,2
EQUATORIAL GUINEA?,2
"EGYPT?, ITALY?",2
EAST AFRICA?/TANZANIA?,2
"EGYPT, YEMEN",2
"COTE D'IVOIRE?, MALI?",2
"RWANDA?, UGANDA?",2
LESOTHO,2
SOMALIA? (BRITISH SOMALILAND?),2
WEST INDIES,2
"USA?, FRANCE?",1
"USA?, NZ?",1
KINGDON OF TONGA?,1
HUNGARY,1
SWEDEN,1
LITHUANIA,1
MACEDONIA?,1
FRANCE?,1
GERMANY,1
CHINA (INDIA ?),1
"PERSIA, INDIA",1
USA ?,1
CHINA(MONGOLIA),1
CAMBODIA/SIAM ?,1
CAMBODIA/SIAM,1
MALAY,1
JAPAN OR CHINA,1
INDIA ? MALAY ?,1
INDIA OR PERSIA,1
(MALAYSIA?),1
INDIA OR NEPAL,1
CAMBODIA ?,1
MYANMAR?/CHINA?,1
CHINA (JAPAN ?),1
PERSIA OR INDIA,1
INDIA OR PAKIST,1
KUWAIT/IRAQ,1
NEPAL ? INDIA ?,1
PAKISTAN?/INDIA?,1
CHINA? MONGOLIA?,1
IRAN (INDIA ?),1
INDIA(INDONESIA,1
ISRAEL,1
"TAIWAN?, SOUTHEAST ASIA?",1
"UZBEKISTAN?, AFGHANISTAN?",1
CHINA (XINJIANG/ EASTERN TURKESTAN),1
PAKISTAN/AFGHANISTAN,1
AFGHANISTAN/IRAN,1
IRAQ/IRAN,1
LAO PEOPLES DEMOCRATIC REPUBLIC,1
"KOREA?, CHINA?",1
CHINA ? BURMA ?,1
CHINA ? (MEXICO,1
LAOS ?,1
"ECUADOR?, COLOMBIA?",1
"BRAZIL?, COLOMBIA?",1
"LIBERIA?, AFRICA",1
"MOZAMBIQUE?, MALI?",1
LIBERIA/WEST AFRICA,1
"SUDAN?, EGYPT?",1
GHANA?/WEST AFRICA,1
"TANZANIA?, MALAWI?",1
EQUATORIAL GUINEA? GABON?,1
NORTH EAST AFRICA?,1
"TOGO?, NIGERIA?",1
SWAZILAND?,1
SOUTH AFRICA?/KENYA?,1
"SENEGAL?, GAMBIA?",1
SOUTHEAST AFRICA,1
"CAMEROON?, KENYA?",1
